clientId,packetId,length,direction,iat,entropy,timestamp,clientProtocolVersion
05bf52c6-7bb0-4f13-8951-0e1fd803df35,2,1143,OUTGOING,284732742500,0.018602093950081434,1753691581310,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,3,0,INCOMING,50160000,0.02270407519093953,1753691581359,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,2,24,INCOMING,12798209,0.02285358321560037,1753691581370,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,0,14,INCOMING,9328208,0.022839378650141594,1753691581380,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,1,36,OUTGOING,42527542,0.02315190784023144,1753691581422,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,14,23,OUTGOING,8998666,0.023183857589875127,1753691581431,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,12,19,OUTGOING,9016792,0.023193088624825647,1753691581440,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,4,8,OUTGOING,9352500,0.023186874918148845,1753691581449,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,23,INCOMING,9267292,0.023224718361306153,1753691581458,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,4,8,INCOMING,9144333,0.023212065050061893,1753691581467,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,223,OUTGOING,8857208,0.0233290514123653,1753691581477,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,115,OUTGOING,9284292,0.02341605792255768,1753691581486,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,1587,OUTGOING,9305708,0.025241806712648366,1753691581495,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,93,OUTGOING,9631750,0.02754981965701439,1753691581504,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,1098,OUTGOING,8648292,0.027939314874040173,1753691581513,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,226,OUTGOING,8937000,0.029669658166850566,1753691581522,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,326,OUTGOING,8811042,0.029867653372612508,1753691581531,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,1035,OUTGOING,9348458,0.03048067164377663,1753691581540,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,950,OUTGOING,8705583,0.031252123539574836,1753691581550,772
05bf52c6-7bb0-4f13-8951-0e1fd803df35,7,979,OUTGOING,9490417,0.03144319953593281,1753691581559,772
